Dataset,BatchSize,Threat,Source Model,Attack,standard TSR(FR),standard S_APR,standard S_total,standard median_norm,standard Optimality,zhang_2020_small TSR(FR),zhang_2020_small S_APR,zhang_2020_small S_total,zhang_2020_small median_norm,zhang_2020_small Optimality,stutz_2020 TSR(FR),stutz_2020 S_APR,stutz_2020 S_total,stutz_2020 median_norm,stutz_2020 Optimality,xiao_2020 TSR(FR),xiao_2020 S_APR,xiao_2020 S_total,xiao_2020 median_norm,xiao_2020 Optimality,wang_2023_small TSR(FR),wang_2023_small S_APR,wang_2023_small S_total,wang_2023_small median_norm,wang_2023_small Optimality,per-time,Average transfer optimality
cifar10,128,l1,zhang_2020_small,fb_pgd_l1_minimal,53.8(0.2060463066730759),0.0585,3.15,58.033,0.565,97.9(0.48901309402149873),5.0397,493.64,0.0,0.804,99.4(0.13419971025442035),0.2266,22.52,7.072,0.972,52.9(0.284324160789636),1.8735,99.07,20.987,0.566,22.7(0.17223612814060252),0.0643,1.46,100000.0,0.255,0.042,0.59
cifar10,128,l1,zhang_2020_small,fb_bim_l1_minimal,29.2(0.18451758181603403),0.0983,2.88,100000.0,0.309,85.2(0.47356636296119164),5.6949,485.23,0.0,0.735,95.0(0.15358908074422975),0.236,22.42,6.962,0.934,41.2(0.26490258233995045),1.6504,67.95,21.272,0.444,11.5(0.13036643948517887),0.1027,1.18,100000.0,0.13,0.007,0.454
cifar10,128,l1,zhang_2020_small,fb_fgm_l1_minimal,23.2(0.17060118763345267),0.6262,14.52,100000.0,0.245,81.7(0.468235113003309),6.3438,518.4,0.0,0.67,92.4(0.16319467327198786),0.2774,25.63,6.234,0.91,37.7(0.2574673131577853),1.4639,55.19,24.247,0.406,8.3(0.11273827416208844),0.1459,1.21,100000.0,0.094,0.001,0.414
cifar10,128,l1,zhang_2020_small,art_fgm_l1_minimal,23.2(0.17060118763345267),0.6262,14.52,100000.0,0.245,81.7(0.468235113003309),6.3438,518.4,0.0,0.67,92.4(0.16319467327198786),0.2774,25.63,6.234,0.91,37.7(0.25748342952910347),1.4647,55.23,24.247,0.406,8.3(0.11273827416208844),0.1459,1.21,100000.0,0.094,0.03,0.414
cifar10,128,l1,zhang_2020_small,art_bim_l1_minimal,26.6(0.17898688851898062),0.3533,9.39,100000.0,0.279,94.0(0.48460857572045973),3.787,355.88,0.0,0.885,89.9(0.17120300431499913),0.2696,24.24,5.862,0.889,25.4(0.22260020927997753),2.0734,52.7,73.091,0.273,9.4(0.11905598369524738),0.1034,0.97,100000.0,0.105,0.088,0.387
cifar10,128,l1,zhang_2020_small,art_pgd_l1_minimal,22.3(0.16836202061862088),0.4166,9.3,100000.0,0.236,91.5(0.4818014661394782),3.8936,356.11,0.0,0.862,88.1(0.17664658728253863),0.2744,24.17,5.895,0.873,23.3(0.2150806027769435),2.1369,49.87,100000.0,0.252,7.4(0.10675241783844451),0.1232,0.91,100000.0,0.084,0.033,0.361
cifar10,128,l1,zhang_2020_small,ch_fgm_l1_minimal,0.5(0.027473036340484636),7.6448,3.63,100000.0,0.005,9.8(0.19264803396747382),94.3219,926.29,0.0,0.104,1.5(0.0498763041952841),8.6178,12.75,100000.0,0.015,5.4(0.11089960051349888),25.6849,139.97,100000.0,0.06,0.2(0.01698647175984043),7.0884,1.23,100000.0,0.002,0.001,0.021
cifar10,128,l1,stutz_2020,original_apgd_l1_minimal,100.0(0.09190302228351852),0.0152,1.52,227.529,0.825,97.2(0.48820834759621556),0.0091,0.89,0.0,0.934,100.0(0.1310915872532526),6.3021,630.21,0.317,0.99,100.0(0.28442112908551526),0.0618,6.18,159.218,0.869,96.3(0.1321214240781632),0.0066,0.63,359.98,0.958,0.805,0.896
cifar10,128,l1,stutz_2020,adv_lib_apgd_l1_minimal,100.0(0.09182025822469204),0.0122,1.22,179.98,0.863,97.8(0.4888463357367711),0.0061,0.6,0.0,0.926,100.0(0.1310915872532526),6.3936,639.36,0.5,0.883,100.0(0.28442112908551526),0.0598,5.98,254.595,0.775,93.8(0.1437929939832314),0.0054,0.51,361.27,0.937,0.818,0.875
cifar10,128,l1,stutz_2020,fb_fgm_l1_minimal,96.4(0.11581752744787979),0.062,5.97,183.164,0.846,79.8(0.4655921784677092),0.0086,0.69,0.0,0.786,100.0(0.1310915872532526),0.641,64.1,2.895,0.2,90.2(0.2940019328954585),0.1534,13.85,200.31,0.749,93.2(0.1460425527941659),0.0059,0.55,402.648,0.913,0.008,0.824
cifar10,128,l1,stutz_2020,art_fgm_l1_minimal,96.4(0.11581752744787979),0.062,5.97,183.164,0.846,79.8(0.4655921784677092),0.0086,0.69,0.0,0.786,100.0(0.1310915872532526),0.641,64.1,2.895,0.2,90.2(0.29401533384475476),0.1535,13.85,200.31,0.749,93.2(0.1460425527941659),0.0059,0.55,402.648,0.913,0.373,0.824
cifar10,128,l1,stutz_2020,fb_pgd_l1_minimal,99.0(0.09953454671489481),0.0032,0.31,491.242,0.517,96.5(0.4876748794530257),0.0047,0.45,0.0,0.9,100.0(0.1310915872532526),1.1008,110.08,2.178,0.316,97.5(0.28740813208661203),0.2689,26.22,441.921,0.544,94.7(0.1397760068890393),0.0022,0.21,582.277,0.869,0.375,0.708
cifar10,128,l1,stutz_2020,fb_bim_l1_minimal,98.9(0.099835156705561),0.003,0.3,489.365,0.517,94.6(0.48559302632369494),0.0046,0.44,0.0,0.888,100.0(0.1310915872532526),1.1228,112.28,2.036,0.323,97.6(0.2872411831255905),0.0675,6.59,451.186,0.544,94.9(0.138759194104166),0.0023,0.22,577.531,0.872,0.072,0.705
cifar10,128,l1,stutz_2020,art_bim_l1_minimal,26.3(0.17831904229285903),0.0136,0.36,100000.0,0.279,12.0(0.2123702424249274),0.0266,0.32,0.0,0.13,100.0(0.1310915872532526),1.2777,127.77,1.388,0.447,19.7(0.20027175677279888),0.446,8.8,100000.0,0.254,4.5(0.08488576459619425),0.012,0.05,100000.0,0.05,0.745,0.178
cifar10,128,l1,stutz_2020,art_pgd_l1_minimal,10.0(0.12068129706213915),0.0218,0.22,100000.0,0.111,6.3(0.15499048323914175),0.0326,0.2,0.0,0.068,100.0(0.1310915872532526),1.2682,126.82,1.406,0.445,16.0(0.1827052878920333),0.6106,9.76,100000.0,0.21,1.5(0.04928696813092065),0.0214,0.03,100000.0,0.016,0.295,0.101
cifar10,128,l1,stutz_2020,ch_fgm_l1_minimal,1.4(0.04651223126752415),10.9006,14.84,100000.0,0.016,0.1(0.014045645091198801),3.3372,0.17,0.0,0.001,3.7(0.0782512055302652),40.9288,152.48,100000.0,0.042,4.8(0.10444911733345298),40.2429,194.73,100000.0,0.065,0.2(0.01802959773621278),2.8138,0.55,100000.0,0.002,0.008,0.021
cifar10,128,l1,xiao_2020,original_apgd_l1_minimal,100.0(0.09182025822469204),0.0208,2.08,141.758,0.924,100.0(0.49087802420750504),0.0226,2.26,0.0,0.926,100.0(0.1310915872532526),0.0507,5.07,58.112,0.881,100.0(0.28442112908551526),17.9525,1795.25,3.218,0.986,100.0(0.11194518766881803),0.0163,1.63,151.521,0.916,0.777,0.912
cifar10,128,l1,xiao_2020,adv_lib_apgd_l1_minimal,100.0(0.09198609614150878),0.015,1.5,147.504,0.93,98.2(0.4893241766000197),0.0168,1.65,0.0,0.855,100.0(0.1310915872532526),0.0674,6.74,39.054,0.927,100.0(0.28442112908551526),21.8261,2182.61,5.0,0.939,95.1(0.13817486497141562),0.0126,1.2,202.51,0.866,0.8,0.894
cifar10,128,l1,xiao_2020,fb_pgd_l1_minimal,99.8(0.09362326788059767),0.007,0.7,233.808,0.825,95.6(0.4866124712474654),0.0284,2.72,0.0,0.817,100.0(0.13114912048372307),0.0166,1.66,94.558,0.759,100.0(0.28442112908551526),0.4067,40.67,46.364,0.621,99.8(0.11308855659610433),0.0058,0.58,265.325,0.751,0.357,0.788
cifar10,128,l1,xiao_2020,fb_bim_l1_minimal,99.8(0.09329755830740163),0.0067,0.67,236.596,0.819,96.0(0.48704134538812793),0.0162,1.56,0.0,0.815,100.0(0.1310915872532526),0.0158,1.58,94.045,0.758,100.0(0.28442112908551526),0.3893,38.93,49.932,0.606,99.3(0.11642625377382959),0.0057,0.57,277.808,0.731,0.067,0.781
cifar10,128,l1,xiao_2020,art_bim_l1_minimal,69.1(0.1959172494086321),0.0087,0.6,234.307,0.644,68.5(0.4444715294742278),0.0278,1.9,0.0,0.685,90.6(0.16889454298571588),0.0166,1.5,101.969,0.724,93.9(0.29099338415242754),0.1519,14.26,43.002,0.702,64.3(0.20756769571634917),0.0091,0.58,233.911,0.629,0.749,0.671
cifar10,128,l1,xiao_2020,fb_fgm_l1_minimal,84.3(0.16521505983023055),0.0075,0.63,320.155,0.661,76.3(0.459914407590896),0.0315,2.4,0.0,0.682,96.6(0.1469573018987476),0.0161,1.56,107.217,0.669,92.7(0.2920511843585819),0.4573,42.41,55.759,0.5,77.3(0.19089546998917617),0.0055,0.42,417.739,0.513,0.008,0.631
cifar10,128,l1,xiao_2020,art_fgm_l1_minimal,84.1(0.16585830357393627),0.0075,0.63,321.071,0.659,76.1(0.45964441484255875),0.0314,2.39,0.0,0.681,96.6(0.14719331047535641),0.0161,1.56,107.485,0.667,92.4(0.2922960920791371),0.4601,42.53,55.724,0.499,77.0(0.19148717924339873),0.0055,0.42,418.277,0.511,0.258,0.63
cifar10,128,l1,xiao_2020,art_pgd_l1_minimal,32.9(0.19100525565398774),0.0146,0.48,100000.0,0.33,48.8(0.3945393941241513),0.04,1.95,0.0,0.504,74.6(0.2042713964963928),0.0189,1.41,99.463,0.658,80.2(0.29851279115996004),0.2121,17.01,44.975,0.648,29.8(0.18880203955074418),0.0139,0.41,100000.0,0.321,0.286,0.453
cifar10,128,l1,xiao_2020,ch_fgm_l1_minimal,0.5(0.028798102675134236),11.6579,6.03,100000.0,0.006,0.2(0.024711669269259783),3.4145,0.53,0.0,0.002,1.4(0.04883910089320809),10.161,14.46,100000.0,0.016,6.2(0.11780465535701465),160.3187,988.68,100000.0,0.067,0.3(0.02241032066910824),3.9701,1.2,100000.0,0.004,0.008,0.007
cifar10,128,l1,wang_2023_small,original_apgd_l1_minimal,100.0(0.09182025822469204),0.1495,14.95,15.392,0.959,99.9(0.49079967604472224),0.0409,4.09,0.0,0.972,100.0(0.1310915872532526),0.1858,18.58,11.328,0.949,100.0(0.28442112908551526),0.0789,7.89,16.47,0.944,100.0(0.11194518766881803),0.7243,72.43,4.886,0.982,2.118,0.956
cifar10,128,l1,wang_2023_small,adv_lib_apgd_l1_minimal,100.0(0.09182025822469204),0.1138,11.38,19.602,0.924,99.9(0.4907834902939046),0.0262,2.61,0.0,0.883,100.0(0.1310915872532526),0.1627,16.27,11.328,0.947,100.0(0.28442112908551526),0.0448,4.48,20.458,0.803,100.0(0.11194518766881803),0.7508,75.08,5.0,0.982,2.172,0.89
cifar10,128,l1,wang_2023_small,art_bim_l1_minimal,99.9(0.09280946135733406),0.1414,14.12,31.395,0.811,86.5(0.4752724048076138),0.0381,3.29,0.0,0.829,99.7(0.13251739408100147),0.0811,8.09,24.488,0.783,99.8(0.28469021685095025),0.3879,38.71,23.969,0.941,100.0(0.11201298939594245),0.143,14.3,14.469,0.713,2.022,0.841
cifar10,128,l1,wang_2023_small,art_pgd_l1_minimal,99.5(0.09561972809087955),0.1414,14.07,31.936,0.808,76.9(0.46018426560733533),0.0421,3.24,0.0,0.755,99.2(0.13534818973876672),0.0815,8.08,24.633,0.783,98.4(0.28641400930436206),0.4023,39.57,23.988,0.934,99.9(0.11235119208379547),0.1416,14.15,14.771,0.693,0.866,0.82
cifar10,128,l1,wang_2023_small,fb_pgd_l1_minimal,100.0(0.09182025822469204),0.1356,13.56,38.505,0.729,96.8(0.48783513874739476),0.0328,3.17,0.0,0.821,100.0(0.1310915872532526),0.0854,8.54,20.448,0.804,100.0(0.28442112908551526),0.3777,37.77,26.776,0.884,100.0(0.11194518766881803),0.1251,12.51,21.492,0.496,1.005,0.809
cifar10,128,l1,wang_2023_small,fb_bim_l1_minimal,100.0(0.09182025822469204),0.1338,13.38,40.106,0.715,97.1(0.4883221115684369),0.0325,3.16,0.0,0.827,100.0(0.1310915872532526),0.0843,8.43,21.083,0.8,99.9(0.28451201452847036),0.3571,35.69,27.157,0.879,100.0(0.11194518766881803),0.1223,12.23,23.279,0.469,0.209,0.805
cifar10,128,l1,wang_2023_small,art_fgm_l1_minimal,86.8(0.157442158604488),0.1383,12.01,122.94,0.388,86.8(0.47575010474101614),0.035,3.04,0.0,0.76,96.8(0.14610209785214634),0.0728,7.05,33.419,0.614,95.9(0.28910810590350233),0.346,33.18,30.644,0.763,84.2(0.17560348926899644),0.1174,9.89,71.692,0.27,0.418,0.631
cifar10,128,l1,wang_2023_small,fb_fgm_l1_minimal,86.8(0.157442158604488),0.1384,12.01,122.911,0.388,86.8(0.4757800842574043),0.035,3.04,0.0,0.76,96.8(0.14610209785214634),0.0728,7.05,33.411,0.614,96.0(0.2890209942302525),0.3455,33.15,30.581,0.763,84.2(0.17560348926899644),0.1174,9.89,71.699,0.27,0.029,0.631
cifar10,128,l1,wang_2023_small,ch_fgm_l1_minimal,1.4(0.047740089958759974),16.4996,23.5,100000.0,0.016,0.7(0.050642769040443486),8.7074,5.8,0.0,0.007,2.4(0.06377409359315935),9.8191,24.02,100000.0,0.027,5.9(0.11521449365602306),17.3056,101.7,100000.0,0.063,1.4(0.04790776321491835),25.3049,35.31,100000.0,0.016,0.03,0.028
cifar10,128,l1,ensemble,original_apgd_l1_HORNET,100.0(0.09182025822469204),0.5078,50.78,15.069,0.961,100.0(0.49087802420750504),0.0523,5.23,0.0,0.964,100.0(0.1310915872532526),0.4829,48.29,4.101,0.976,100.0(0.28442112908551526),0.5105,51.05,11.686,0.947,100.0(0.11194518766881803),0.0309,3.09,114.94,0.967,10.101,0.963
cifar10,128,l1,ensemble,adv_lib_apgd_l1_HORNET,100.0(0.09182025822469204),0.1243,12.43,19.257,0.926,100.0(0.49087802420750504),0.035,3.5,0.0,0.855,100.0(0.1310915872532526),0.3797,37.97,5.0,0.96,100.0(0.28442112908551526),0.1932,19.32,15.768,0.85,99.8(0.11328794975779458),0.0291,2.91,149.921,0.918,10.146,0.902
cifar10,128,l1,ensemble,fb_pgd_l1_HORNET,100.0(0.09182025822469204),0.1455,14.55,34.091,0.775,99.7(0.49061884041562276),0.0507,5.06,0.0,0.785,100.0(0.1310915872532526),0.2493,24.93,6.782,0.937,100.0(0.28442112908551526),1.54,154.0,13.931,0.883,99.9(0.11248498114045627),0.0185,1.85,233.48,0.809,4.715,0.838
cifar10,128,l1,ensemble,art_bim_l1_HORNET,100.0(0.09215156216268036),0.1589,15.88,29.474,0.827,91.6(0.4818486510224833),0.0476,4.36,0.0,0.847,100.0(0.1310915872532526),0.2711,27.11,5.56,0.927,99.8(0.2846694965259115),0.9333,93.15,17.172,0.924,65.8(0.20635270138512452),0.0224,1.47,220.542,0.625,9.432,0.83
cifar10,128,l1,ensemble,fb_bim_l1_HORNET,100.0(0.09182025822469204),0.1459,14.59,36.2,0.741,99.9(0.49081796563511726),0.0394,3.94,0.0,0.782,100.0(0.1310915872532526),0.2489,24.89,6.638,0.929,100.0(0.28442112908551526),1.0491,104.91,14.042,0.87,99.5(0.11506726764361347),0.0168,1.67,250.149,0.778,0.975,0.82
cifar10,128,l1,ensemble,art_pgd_l1_HORNET,99.7(0.09410713970611435),0.1583,15.78,29.843,0.821,83.1(0.46999356225134753),0.0527,4.37,0.0,0.795,99.9(0.13143665804106722),0.271,27.08,5.596,0.924,98.5(0.28626328019940717),0.9727,95.8,17.029,0.919,32.0(0.19299635392274347),0.0394,1.26,100000.0,0.336,4.409,0.759
cifar10,128,l1,ensemble,fb_fgm_l1_HORNET,99.6(0.09506614844160853),0.1929,19.21,68.996,0.514,93.9(0.4847411100524343),0.0506,4.75,0.0,0.758,100.0(0.1310915872532526),0.282,28.2,6.015,0.909,99.1(0.2854866961701739),0.9033,89.56,14.881,0.774,98.7(0.11981628700644752),0.0179,1.77,267.737,0.749,0.137,0.741
cifar10,128,l1,ensemble,art_fgm_l1_HORNET,99.6(0.09514546249867611),0.1929,19.21,68.996,0.514,93.8(0.48471726348745664),0.0505,4.74,0.0,0.758,100.0(0.1310915872532526),0.282,28.2,6.015,0.909,99.2(0.28545116481209204),0.9226,91.5,14.925,0.775,98.7(0.11969333830497583),0.0179,1.77,268.476,0.748,2.39,0.741
cifar10,128,l1,ensemble,ch_fgm_l1_HORNET,2.8(0.06617127528727916),15.3492,42.75,100000.0,0.031,1.1(0.06537810965401182),6.6194,7.3,0.0,0.012,5.6(0.09507513333069392),13.7648,76.85,100000.0,0.058,11.9(0.15997565665070873),41.2732,491.42,100000.0,0.129,0.8(0.035810524368965785),5.0191,3.91,100000.0,0.009,0.143,0.048
